"x"
35362000
31870000
23971000
22495000
22394000
22186000
22118000
21505000
21489000
19787000
19437000
18713220
18698000
17693000
17573000
16839000
16216000
15490000
15487000
15311000
15292000
15056000
14678000
13999000
13954000
13819000
12750807
12486000
11920000
11860000
11564000
11148000
11120000
11027000
10932000
10820000
10784600
10136000
10013600
9840000
9729000
9549700
9522000
9373000
8992000
8953172
8883000
8677600
8669000
8639000
8604203
8287693
8261000
8246600
8200264
8154700
8142000
8081905
7967400
7948000
7905700
7743955
7717000
7729000
7674439
7577289
7544300
7461000
7457027
7398000
7370500
7332000
7325300
7283622
7260240
7254100
7243400
7231234
7208000
7104103
7090000
7026000
6968202
6889000
6888500
6850000
6810700
6713000
6686100
6480000
6445545
6372624
6333000
6313200
6278614
6270700
6155400
6107000
6109106
6089400
6017000
6006000
5954391
5849700
5827200
5789863
5775000
5743938
5708191
5680000
5649300
5598402
5611701
5591000
5573200
5568235
5545000
5545500
5494207
5468097
5464251
5437000
5452100
5449398
5430000
5429524
5418153
5384342
5379184
5367003
5352924
5319028
5286077
5278121
5271000
5245000
5187200
5159000
5140000
5134779
5103000
5096001
5085500
5031000
4980000
4979600
4956600
4921000
4904701
4896800
4875000
4881900
4870000
4850657
4840600
4830000
4799889
4744500
4735000
4723000
4719178
4688346
4630300
4613862
4583000
4564900
4529500
4530597
4480000
4472000
4471896
4459760
4444444
4434827
4413800
4409200
4393482
4378800
4370000
4358839
4345485
4341245
4316610
4307488
4273156
4219697
4218427
4201592
4151700
4137900
4110000
4047200
4041700
4020800
4007526
3976000
3937868
3931800
3877000
3874000
3848885
3842100
3789215
3757630
3748474
3738700
3729140
3702847
3669400
3664088
3645884
3616163
3598740
3592294
3590700
3545700
3519595
3506126
3473201
3453198
3415811
3416196
3398000
3382000
3385156
3351436
3334565
3304400
3283148
3262549
3260000
3252619
3235759
3220118
3203846
3205476
3168800
3164467
3151676
3146300
3139153
3126463
3113384
3112559
3093900
3073350
3067501
3061100
3041002
3044641
3015268
3001184
2997600
2989000
2993600
2960048
2977172
2963199
2957000
2950545
2934841
2913024
2910000
2908063
2904532
2900000
2875673
2885555
2886698
2876625
2872800
2867504
2866615
2864800
2863000
2803894
2804771
2801013
2798723
2773533
2723665
2717732
2701324
2698624
2684567
2690000
2678899
2656600
2650364
2606000
2640000
2629906
2627000
2623541
2610000
2593843
2581643
2581827
2580000
2567718
2559903
2555600
2552097
2550593
2544266
2536000
2529403
2532938
2526900
2502715
2496970
2497900
2484122
2471474
2471700
2453496
2461002
2452185
2440462
2446945
2396000
2444697
2426000
2428534
2405665
2395159
2381053
2375820
2386000
2360241
2353100
2330333
2341742
2333896
2324439
2291352
2280000
2279146
2264823
2237006
2234018
2233900
2230722
2211191
2208708
2202899
2187009
2181800
2174000
2150000
2141652
2129371
2125500
2120000
2118200
2109330
2114276
2111000
2107852
2106068
2103500
2104198
2099400
2098231
2069350
2074775
2065771
2072600
2068033
2049293
2039200
2035922
2035338
2027001
2032356
2024000
2024074
2009109
2011388
2009786
1994397
1993088
1971704
1970042
1961690
1961260
